DATE,POLLUTANT,SHATIN,TSUEN WAN,CENTRAL,EASTERN,KWUN TONG,TUEN MUN,TUNG CHUNG,SHAM SHUI PO,SOUTHERN,YUEN LONG,CENTRAL/WESTERN,NORTH,KWAI CHUNG,TAP MUN,TSEUNG KWAN O,TAI PO,MONG KOK,CAUSEWAY BAY
01-01-2017,Carbon Monoxide,N.A.,65,61,N.A.,N.A.,65,58,N.A.,N.A.,34,N.A.,N.A.,N.A.,82,55,N.A.,79,71
01-01-2017,Fine Suspended Particulates ,18,16,13,19,20,27,21,22,N.A.,20,21,N.A.,20,19,16,21,26,27
01-01-2017,Nitrogen Dioxide,19,55,49,36,27,49,38,51,N.A.,48,30,N.A.,37,9,13,27,71,91
01-01-2017,Nitrogen Oxides,24,68,67,N.A.,30,59,50,62,N.A.,63,32,N.A.,46,11,16,34,116,224
01-01-2017,Ozone,80,51,60,73,67,49,43,53,N.A.,50,70,N.A.,63,91,84,76,37,23
01-01-2017,Respirable Suspended Particulates,29,24,26,31,40,45,32,34,N.A.,43,33,N.A.,31,35,31,32,37,41
01-01-2017,Sulphur Dioxide,9,11,3,3,8,7,9,4,N.A.,10,3,N.A.,7,10,8,6,3,9
02-01-2017,Carbon Monoxide,N.A.,72,83,N.A.,N.A.,87,69,N.A.,N.A.,52,N.A.,N.A.,N.A.,88,69,N.A.,92,92
02-01-2017,Fine Suspended Particulates ,19,21,21,23,25,39,31,N.A.,N.A.,28,25,N.A.,27,23,20,23,32,38
02-01-2017,Nitrogen Dioxide,53,84,97,57,52,91,58,80,N.A.,75,60,N.A.,84,12,34,43,107,119
02-01-2017,Nitrogen Oxides,88,117,206,N.A.,62,136,84,112,N.A.,106,92,N.A.,157,14,43,57,227,327
02-01-2017,Ozone,45,32,37,67,57,21,21,37,N.A.,37,54,N.A.,47,81,N.A.,52,20,16
02-01-2017,Respirable Suspended Particulates,30,32,40,37,47,64,46,N.A.,N.A.,57,41,N.A.,42,35,43,32,47,56
02-01-2017,Sulphur Dioxide,11,19,8,5,9,13,10,11,N.A.,12,10,N.A.,22,10,9,6,8,14
03-01-2017,Carbon Monoxide,N.A.,80,92,N.A.,N.A.,93,72,N.A.,N.A.,55,N.A.,N.A.,N.A.,89,66,N.A.,122,77
03-01-2017,Fine Suspended Particulates ,29,32,21,24,27,49,44,N.A.,N.A.,34,32,N.A.,36,25,22,33,41,44
03-01-2017,Nitrogen Dioxide,46,72,94,58,57,88,51,89,N.A.,51,68,N.A.,77,12,37,43,106,100
03-01-2017,Nitrogen Oxides,91,90,176,N.A.,91,151,64,148,N.A.,105,118,N.A.,115,14,46,68,224,250
03-01-2017,Ozone,52,46,26,57,45,21,45,28,N.A.,47,41,N.A.,N.A.,78,57,54,14,13
03-01-2017,Respirable Suspended Particulates,40,43,35,36,45,75,59,N.A.,N.A.,67,46,N.A.,48,37,32,44,55,58
03-01-2017,Sulphur Dioxide,10,12,5,4,8,9,10,6,N.A.,10,8,N.A.,10,9,8,6,4,10
04-01-2017,Carbon Monoxide,N.A.,67,83,N.A.,N.A.,68,63,N.A.,N.A.,30,N.A.,N.A.,N.A.,86,59,N.A.,100,60
04-01-2017,Fine Suspended Particulates ,24,18,19,26,27,30,26,N.A.,N.A.,23,26,N.A.,24,25,22,24,31,32
04-01-2017,Nitrogen Dioxide,32,60,83,53,33,64,33,70,N.A.,41,40,N.A.,51,9,17,38,94,78
04-01-2017,Nitrogen Oxides,41,75,135,N.A.,38,95,39,90,N.A.,57,44,N.A.,68,10,20,49,147,141
04-01-2017,Ozone,76,54,46,75,72,40,61,51,N.A.,51,72,N.A.,63,100,102,68,32,39
04-01-2017,Respirable Suspended Particulates,34,25,31,36,43,45,37,N.A.,N.A.,41,39,N.A.,35,40,33,35,44,47
04-01-2017,Sulphur Dioxide,10,10,4,4,8,6,8,7,N.A.,8,4,N.A.,8,10,9,6,3,8
05-01-2017,Carbon Monoxide,N.A.,83,121,N.A.,N.A.,104,83,N.A.,N.A.,60,N.A.,N.A.,N.A.,88,69,N.A.,106,79
05-01-2017,Fine Suspended Particulates ,22,22,16,21,22,45,31,N.A.,N.A.,31,23,N.A.,23,21,19,25,30,36
05-01-2017,Nitrogen Dioxide,63,89,107,70,59,108,72,87,N.A.,94,70,N.A.,80,11,44,62,107,95
05-01-2017,Nitrogen Oxides,112,159,258,N.A.,88,240,124,127,N.A.,172,118,N.A.,130,13,59,108,208,225
05-01-2017,Ozone,29,19,22,48,45,7,10,28,N.A.,14,40,N.A.,29,67,57,29,16,19
05-01-2017,Respirable Suspended Particulates,30,31,27,30,36,72,47,N.A.,N.A.,61,35,N.A.,38,29,25,33,41,53
05-01-2017,Sulphur Dioxide,9,14,7,5,7,14,12,7,N.A.,11,5,N.A.,11,9,9,6,4,10
06-01-2017,Carbon Monoxide,N.A.,72,108,N.A.,N.A.,95,77,N.A.,N.A.,51,N.A.,N.A.,N.A.,93,68,N.A.,101,76
06-01-2017,Fine Suspended Particulates ,25,22,24,28,30,40,34,29,N.A.,24,29,N.A.,27,28,26,27,37,45
06-01-2017,Nitrogen Dioxide,41,76,97,57,38,92,68,72,N.A.,65,47,N.A.,71,12,31,43,97,95
06-01-2017,Nitrogen Oxides,84,103,176,N.A.,45,198,107,98,N.A.,142,53,N.A.,111,15,43,61,170,203
06-01-2017,Ozone,54,33,28,64,64,19,23,41,N.A.,29,60,N.A.,31,88,77,52,22,21
06-01-2017,Respirable Suspended Particulates,32,28,36,39,43,59,48,42,N.A.,44,41,N.A.,41,37,33,35,49,61
06-01-2017,Sulphur Dioxide,9,13,7,7,8,13,12,8,N.A.,10,5,N.A.,7,11,10,6,5,11
07-01-2017,Carbon Monoxide,N.A.,71,108,N.A.,N.A.,79,76,N.A.,N.A.,44,N.A.,N.A.,N.A.,96,71,N.A.,100,71
07-01-2017,Fine Suspended Particulates ,20,20,20,27,28,32,30,27,N.A.,25,27,N.A.,27,24,23,24,33,45
07-01-2017,Nitrogen Dioxide,27,70,82,52,37,69,46,71,N.A.,59,48,N.A.,60,10,23,29,96,87
07-01-2017,Nitrogen Oxides,35,103,140,N.A.,42,120,74,95,N.A.,94,52,N.A.,82,11,30,37,181,178
07-01-2017,Ozone,69,41,36,66,62,33,34,43,N.A.,41,59,N.A.,45,85,82,72,26,27
07-01-2017,Respirable Suspended Particulates,25,25,29,34,37,46,38,37,N.A.,38,36,N.A.,33,35,32,30,42,56
07-01-2017,Sulphur Dioxide,7,11,4,4,6,10,10,6,N.A.,11,3,N.A.,4,10,8,6,2,9
08-01-2017,Carbon Monoxide,N.A.,92,139,N.A.,N.A.,111,108,N.A.,N.A.,73,N.A.,N.A.,N.A.,110,91,N.A.,126,124
08-01-2017,Fine Suspended Particulates ,38,45,47,39,41,56,68,37,N.A.,40,50,N.A.,39,33,32,38,50,70
08-01-2017,Nitrogen Dioxide,69,107,152,70,84,72,74,97,N.A.,59,95,N.A.,91,20,50,53,130,146
08-01-2017,Nitrogen Oxides,89,140,321,N.A.,113,116,130,129,N.A.,94,137,N.A.,126,22,73,72,245,398
08-01-2017,Ozone,48,29,12,67,43,59,36,28,N.A.,62,46,N.A.,32,79,65,62,12,7
08-01-2017,Respirable Suspended Particulates,51,58,66,51,59,85,94,52,N.A.,68,66,N.A.,47,45,46,50,64,89
08-01-2017,Sulphur Dioxide,13,20,13,6,9,11,16,19,N.A.,10,15,N.A.,17,11,10,7,10,18
09-01-2017,Carbon Monoxide,N.A.,108,139,N.A.,N.A.,110,116,N.A.,N.A.,80,N.A.,N.A.,N.A.,130,102,N.A.,138,105
09-01-2017,Fine Suspended Particulates ,28,33,32,33,35,40,46,32,N.A.,29,40,N.A.,32,25,27,34,43,51
09-01-2017,Nitrogen Dioxide,32,60,86,50,39,52,52,64,N.A.,53,45,N.A.,50,17,24,41,92,91
09-01-2017,Nitrogen Oxides,42,74,156,N.A.,51,66,73,83,N.A.,70,52,N.A.,66,20,29,53,160,196
09-01-2017,Ozone,65,51,38,64,60,42,28,47,N.A.,45,63,N.A.,57,81,78,62,24,26
09-01-2017,Respirable Suspended Particulates,39,41,47,47,52,59,64,47,N.A.,53,54,N.A.,44,40,44,46,56,69
09-01-2017,Sulphur Dioxide,8,11,6,5,7,7,11,7,N.A.,10,5,N.A.,5,11,9,7,3,11
10-01-2017,Carbon Monoxide,N.A.,92,119,N.A.,N.A.,89,98,N.A.,N.A.,56,N.A.,N.A.,N.A.,115,87,N.A.,119,93
10-01-2017,Fine Suspended Particulates ,31,30,30,33,36,41,40,35,N.A.,32,37,N.A.,35,32,30,36,42,47
10-01-2017,Nitrogen Dioxide,19,51,73,42,29,48,27,59,N.A.,39,37,N.A.,46,9,19,34,84,95
10-01-2017,Nitrogen Oxides,24,61,116,N.A.,32,58,31,73,N.A.,45,39,N.A.,59,11,23,43,132,190
10-01-2017,Ozone,94,74,57,83,79,63,77,64,N.A.,75,81,N.A.,74,111,101,88,41,34
10-01-2017,Respirable Suspended Particulates,42,39,44,45,55,56,53,50,N.A.,52,51,N.A.,47,49,41,49,55,65
10-01-2017,Sulphur Dioxide,8,10,4,4,7,4,9,6,N.A.,8,3,N.A.,4,10,8,6,2,9
11-01-2017,Carbon Monoxide,N.A.,100,116,N.A.,N.A.,97,103,N.A.,N.A.,67,N.A.,N.A.,N.A.,121,90,N.A.,124,100
11-01-2017,Fine Suspended Particulates ,45,44,48,49,54,60,57,50,N.A.,47,52,N.A.,N.A.,47,45,54,56,62
11-01-2017,Nitrogen Dioxide,23,60,82,43,39,51,42,63,N.A.,43,39,N.A.,50,11,19,36,89,93
11-01-2017,Nitrogen Oxides,28,71,133,N.A.,48,66,48,78,N.A.,47,42,N.A.,65,12,23,46,136,202
11-01-2017,Ozone,92,70,54,84,73,55,58,62,N.A.,75,81,N.A.,72,109,103,88,39,35
11-01-2017,Respirable Suspended Particulates,60,57,67,64,75,80,74,68,N.A.,76,70,N.A.,63,69,57,70,74,83
11-01-2017,Sulphur Dioxide,9,12,5,5,8,6,10,7,N.A.,10,4,N.A.,6,11,9,7,3,8
12-01-2017,Carbon Monoxide,N.A.,114,126,N.A.,N.A.,129,129,N.A.,N.A.,104,N.A.,N.A.,N.A.,146,109,N.A.,135,131
12-01-2017,Fine Suspended Particulates ,56,47,58,54,57,75,75,49,N.A.,52,60,N.A.,58,43,48,65,65,70
12-01-2017,Nitrogen Dioxide,39,54,83,54,51,50,49,60,N.A.,53,53,N.A.,57,22,30,46,80,97
12-01-2017,Nitrogen Oxides,52,75,238,N.A.,84,88,88,83,N.A.,82,82,N.A.,104,25,36,65,171,298
12-01-2017,Ozone,34,36,30,43,33,19,25,31,N.A.,17,36,N.A.,32,41,49,30,19,14
12-01-2017,Respirable Suspended Particulates,79,63,84,75,84,115,116,68,N.A.,101,84,N.A.,76,63,66,92,87,95
12-01-2017,Sulphur Dioxide,8,10,7,4,7,4,12,6,N.A.,10,6,N.A.,6,10,8,4,3,9
13-01-2017,Carbon Monoxide,N.A.,128,143,N.A.,N.A.,128,138,N.A.,N.A.,101,N.A.,N.A.,N.A.,148,122,N.A.,146,152
13-01-2017,Fine Suspended Particulates ,10,9,15,13,15,16,18,10,N.A.,9,17,N.A.,15,6,10,N.A.,18,28
13-01-2017,Nitrogen Dioxide,37,49,82,57,54,45,39,50,N.A.,48,57,N.A.,59,17,35,39,67,95
13-01-2017,Nitrogen Oxides,57,82,306,N.A.,120,78,90,80,N.A.,76,125,N.A.,146,20,47,55,192,459
13-01-2017,Ozone,14,10,2,15,11,8,3,11,N.A.,9,3,N.A.,8,30,18,13,6,2
13-01-2017,Respirable Suspended Particulates,17,10,26,21,27,34,37,13,N.A.,32,26,N.A.,21,11,15,N.A.,23,39
13-01-2017,Sulphur Dioxide,6,9,7,2,5,2,9,5,N.A.,8,5,N.A.,4,8,6,1,1,12
14-01-2017,Carbon Monoxide,N.A.,116,117,N.A.,N.A.,115,125,N.A.,N.A.,81,N.A.,N.A.,N.A.,133,108,N.A.,134,129
14-01-2017,Fine Suspended Particulates ,13,11,13,12,14,20,21,13,N.A.,12,17,N.A.,14,10,9,17,20,26
14-01-2017,Nitrogen Dioxide,35,48,64,42,40,41,36,54,N.A.,43,46,N.A.,40,19,22,44,64,85
14-01-2017,Nitrogen Oxides,51,80,163,N.A.,71,80,75,90,N.A.,73,63,N.A.,65,22,28,79,155,300
14-01-2017,Ozone,17,19,8,25,23,10,4,11,N.A.,10,13,N.A.,20,29,31,7,7,4
14-01-2017,Respirable Suspended Particulates,18,12,19,18,23,35,32,17,N.A.,33,22,N.A.,19,15,15,25,25,34
14-01-2017,Sulphur Dioxide,6,9,4,2,6,2,9,5,N.A.,8,4,N.A.,3,8,6,1,2,8
15-01-2017,Carbon Monoxide,N.A.,114,108,N.A.,N.A.,120,125,N.A.,N.A.,89,N.A.,N.A.,N.A.,138,108,N.A.,127,126
15-01-2017,Fine Suspended Particulates ,22,24,27,25,25,29,32,21,N.A.,18,28,N.A.,26,16,20,25,31,37
15-01-2017,Nitrogen Dioxide,31,47,66,35,37,36,31,47,N.A.,39,44,N.A.,36,18,20,39,61,80
15-01-2017,Nitrogen Oxides,45,70,165,N.A.,57,67,54,70,N.A.,67,56,N.A.,52,21,25,61,143,263
15-01-2017,Ozone,19,20,15,35,27,7,4,17,N.A.,7,23,N.A.,24,26,33,5,10,7
15-01-2017,Respirable Suspended Particulates,28,25,34,32,34,41,41,25,N.A.,39,35,N.A.,33,22,25,31,36,46
15-01-2017,Sulphur Dioxide,6,10,5,3,6,1,9,6,N.A.,8,5,N.A.,3,9,7,2,2,8
16-01-2017,Carbon Monoxide,N.A.,97,88,N.A.,N.A.,97,108,N.A.,N.A.,68,N.A.,N.A.,N.A.,99,87,N.A.,102,99
16-01-2017,Fine Suspended Particulates ,21,23,26,22,24,28,31,21,N.A.,N.A.,28,N.A.,N.A.,17,18,24,31,34
16-01-2017,Nitrogen Dioxide,25,49,64,39,31,37,30,53,N.A.,40,39,N.A.,44,12,20,37,69,74
16-01-2017,Nitrogen Oxides,37,71,141,N.A.,46,64,57,80,N.A.,59,52,N.A.,70,14,25,57,146,210
16-01-2017,Ozone,45,33,27,45,43,24,27,29,N.A.,25,37,N.A.,32,59,57,34,15,14
16-01-2017,Respirable Suspended Particulates,27,25,34,33,38,38,41,28,N.A.,38,37,N.A.,N.A.,26,26,31,39,47
16-01-2017,Sulphur Dioxide,7,10,4,3,7,1,9,6,N.A.,8,3,N.A.,4,9,7,2,2,6
17-01-2017,Carbon Monoxide,N.A.,72,66,N.A.,N.A.,72,92,N.A.,N.A.,44,N.A.,N.A.,N.A.,58,65,N.A.,71,66
17-01-2017,Fine Suspended Particulates ,17,15,18,18,21,27,23,20,N.A.,18,21,N.A.,16,19,16,20,26,28
17-01-2017,Nitrogen Dioxide,26,56,74,48,38,57,38,63,N.A.,46,42,N.A.,52,11,17,37,80,83
17-01-2017,Nitrogen Oxides,34,75,135,N.A.,49,86,61,88,N.A.,59,47,N.A.,76,13,21,51,140,193
17-01-2017,Ozone,67,50,38,61,56,29,44,41,N.A.,44,55,N.A.,49,87,82,62,25,26
17-01-2017,Respirable Suspended Particulates,28,21,31,35,41,41,38,32,N.A.,40,34,N.A.,28,33,28,30,39,44
17-01-2017,Sulphur Dioxide,7,10,4,4,8,4,11,7,N.A.,8,4,N.A.,4,11,8,3,3,6
18-01-2017,Carbon Monoxide,N.A.,N.A.,87,N.A.,N.A.,86,103,N.A.,N.A.,57,N.A.,N.A.,N.A.,69,71,N.A.,75,78
18-01-2017,Fine Suspended Particulates ,25,21,27,27,28,35,38,23,N.A.,26,28,N.A.,27,23,23,32,33,39
18-01-2017,Nitrogen Dioxide,37,N.A.,89,56,52,59,49,63,N.A.,59,59,N.A.,58,20,24,56,82,85
18-01-2017,Nitrogen Oxides,46,N.A.,208,N.A.,80,97,88,91,N.A.,83,78,N.A.,87,21,29,80,157,214
18-01-2017,Ozone,48,N.A.,20,45,35,22,21,28,N.A.,26,33,N.A.,33,N.A.,63,33,16,16
18-01-2017,Respirable Suspended Particulates,42,27,43,41,50,59,54,33,N.A.,59,42,N.A.,34,38,38,47,46,56
18-01-2017,Sulphur Dioxide,8,N.A.,5,3,7,2,11,6,N.A.,8,5,N.A.,4,11,8,3,2,6
19-01-2017,Carbon Monoxide,N.A.,112,116,N.A.,N.A.,113,133,N.A.,N.A.,92,N.A.,N.A.,N.A.,80,84,N.A.,99,108
19-01-2017,Fine Suspended Particulates ,46,49,47,37,40,54,62,37,N.A.,37,43,N.A.,50,31,33,46,54,59
19-01-2017,Nitrogen Dioxide,58,98,109,69,73,67,66,92,N.A.,72,72,N.A.,86,18,41,60,102,113
19-01-2017,Nitrogen Oxides,115,225,290,N.A.,137,141,138,168,N.A.,138,108,N.A.,189,21,53,96,253,388
19-01-2017,Ozone,26,7,10,42,25,6,5,11,N.A.,8,22,N.A.,10,56,59,24,7,9
19-01-2017,Respirable Suspended Particulates,64,62,66,57,59,84,78,56,N.A.,75,59,N.A.,66,37,44,62,71,79
19-01-2017,Sulphur Dioxide,13,25,11,6,10,8,17,13,N.A.,11,12,N.A.,15,11,8,4,8,13
20-01-2017,Carbon Monoxide,N.A.,99,121,N.A.,N.A.,97,128,N.A.,N.A.,76,N.A.,N.A.,N.A.,88,88,N.A.,92,106
20-01-2017,Fine Suspended Particulates ,19,23,22,24,20,26,26,18,N.A.,18,22,N.A.,29,16,13,23,25,29
20-01-2017,Nitrogen Dioxide,32,55,96,54,47,40,43,58,N.A.,41,53,N.A.,56,13,22,41,74,87
20-01-2017,Nitrogen Oxides,44,77,233,N.A.,78,65,70,82,N.A.,56,74,N.A.,91,15,28,55,147,251
20-01-2017,Ozone,46,25,11,43,33,32,22,30,N.A.,37,31,N.A.,31,61,63,40,17,10
20-01-2017,Respirable Suspended Particulates,30,29,34,36,40,45,48,28,N.A.,46,33,N.A.,42,21,20,32,35,43
20-01-2017,Sulphur Dioxide,7,10,6,2,7,3,13,6,N.A.,8,5,N.A.,4,9,6,2,2,7
21-01-2017,Carbon Monoxide,N.A.,95,127,N.A.,N.A.,97,127,N.A.,N.A.,75,N.A.,N.A.,N.A.,89,98,N.A.,107,118
21-01-2017,Fine Suspended Particulates ,37,43,50,32,36,56,56,37,N.A.,39,48,N.A.,40,34,30,41,51,56
21-01-2017,Nitrogen Dioxide,46,74,109,51,53,50,53,71,N.A.,51,67,N.A.,70,11,31,53,98,N.A.
21-01-2017,Nitrogen Oxides,63,97,231,N.A.,74,60,71,93,N.A.,61,84,N.A.,110,13,45,68,199,N.A.
21-01-2017,Ozone,50,34,15,60,47,52,29,36,N.A.,61,38,N.A.,37,86,69,51,18,13
21-01-2017,Respirable Suspended Particulates,48,56,67,45,55,76,75,50,N.A.,72,62,N.A.,53,44,38,51,64,71
21-01-2017,Sulphur Dioxide,8,13,7,3,8,5,11,10,N.A.,10,7,N.A.,10,10,7,3,5,9
22-01-2017,Carbon Monoxide,N.A.,84,111,N.A.,N.A.,94,116,N.A.,N.A.,71,N.A.,N.A.,N.A.,81,94,N.A.,85,102
22-01-2017,Fine Suspended Particulates ,N.A.,45,45,37,43,57,55,39,N.A.,41,44,N.A.,43,39,37,42,47,49
22-01-2017,Nitrogen Dioxide,45,70,98,46,45,50,45,60,N.A.,54,49,N.A.,69,11,40,54,89,N.A.
22-01-2017,Nitrogen Oxides,63,86,162,N.A.,55,75,55,70,N.A.,73,54,N.A.,90,13,55,71,150,N.A.
22-01-2017,Ozone,61,45,34,79,68,62,35,60,N.A.,63,66,N.A.,53,101,73,48,36,21
22-01-2017,Respirable Suspended Particulates,N.A.,59,60,53,67,80,76,53,N.A.,77,58,N.A.,55,55,49,52,59,65
22-01-2017,Sulphur Dioxide,10,15,7,5,10,7,9,12,N.A.,12,6,N.A.,8,12,9,4,6,9
23-01-2017,Carbon Monoxide,N.A.,77,105,N.A.,N.A.,89,80,N.A.,N.A.,68,N.A.,N.A.,N.A.,76,81,N.A.,85,75
23-01-2017,Fine Suspended Particulates ,N.A.,37,37,35,39,49,51,38,N.A.,38,39,N.A.,36,36,34,40,44,44
23-01-2017,Nitrogen Dioxide,40,62,90,45,41,64,47,66,N.A.,63,41,N.A.,57,11,25,51,95,N.A.
23-01-2017,Nitrogen Oxides,52,73,155,N.A.,52,83,60,80,N.A.,81,46,N.A.,75,13,30,70,153,N.A.
23-01-2017,Ozone,73,65,57,95,80,49,56,70,N.A.,59,89,N.A.,76,116,103,71,42,42
23-01-2017,Respirable Suspended Particulates,N.A.,56,60,60,73,74,75,60,N.A.,74,61,N.A.,55,60,52,56,65,68
23-01-2017,Sulphur Dioxide,9,12,5,5,11,5,10,9,N.A.,11,5,N.A.,6,12,9,4,5,7
24-01-2017,Carbon Monoxide,N.A.,70,94,N.A.,N.A.,75,58,N.A.,N.A.,55,N.A.,N.A.,N.A.,69,73,N.A.,79,80
24-01-2017,Fine Suspended Particulates ,33,36,32,31,35,42,47,34,N.A.,32,33,N.A.,34,31,28,34,39,38
24-01-2017,Nitrogen Dioxide,21,55,72,40,33,46,41,65,N.A.,45,33,N.A.,49,10,17,37,90,106
24-01-2017,Nitrogen Oxides,26,66,117,N.A.,39,52,47,82,N.A.,54,36,N.A.,64,11,21,45,144,221
24-01-2017,Ozone,98,77,66,87,79,68,72,65,N.A.,79,88,N.A.,79,111,107,93,41,34
24-01-2017,Respirable Suspended Particulates,58,60,57,58,68,72,78,58,N.A.,71,58,N.A.,56,59,52,56,64,65
24-01-2017,Sulphur Dioxide,9,12,5,5,9,5,11,9,N.A.,11,8,N.A.,5,11,9,5,4,7
25-01-2017,Carbon Monoxide,N.A.,61,90,N.A.,N.A.,73,55,N.A.,N.A.,52,N.A.,N.A.,N.A.,63,63,N.A.,72,65
25-01-2017,Fine Suspended Particulates ,32,28,20,20,24,35,37,25,N.A.,26,24,N.A.,29,23,17,26,30,28
25-01-2017,Nitrogen Dioxide,26,71,86,46,36,55,54,68,N.A.,49,42,N.A.,69,9,16,32,89,92
25-01-2017,Nitrogen Oxides,35,103,161,N.A.,45,69,76,89,N.A.,64,48,N.A.,117,10,20,41,149,178
25-01-2017,Ozone,84,48,42,73,66,52,32,50,N.A.,67,69,N.A.,46,101,93,86,30,32
25-01-2017,Respirable Suspended Particulates,49,47,39,39,47,62,57,43,N.A.,57,42,N.A.,50,43,35,41,47,47
25-01-2017,Sulphur Dioxide,7,15,4,3,5,5,10,8,N.A.,10,8,N.A.,8,10,7,3,3,5
26-01-2017,Carbon Monoxide,N.A.,71,100,N.A.,N.A.,82,58,N.A.,N.A.,65,N.A.,N.A.,N.A.,75,75,N.A.,87,78
26-01-2017,Fine Suspended Particulates ,38,34,30,30,33,42,36,35,N.A.,35,33,N.A.,30,33,28,35,39,40
26-01-2017,Nitrogen Dioxide,31,62,90,45,41,51,39,60,N.A.,49,36,N.A.,55,10,19,39,89,97
26-01-2017,Nitrogen Oxides,38,77,165,N.A.,53,60,48,75,N.A.,62,41,N.A.,73,11,23,49,152,206
26-01-2017,Ozone,78,59,40,77,64,51,40,58,N.A.,60,76,N.A.,60,102,92,77,33,31
26-01-2017,Respirable Suspended Particulates,51,46,46,45,53,60,49,48,N.A.,60,47,N.A.,45,48,41,46,52,56
26-01-2017,Sulphur Dioxide,8,12,4,4,5,5,9,7,N.A.,10,7,N.A.,6,11,8,4,3,6
27-01-2017,Carbon Monoxide,N.A.,65,102,N.A.,N.A.,76,53,N.A.,N.A.,60,N.A.,N.A.,N.A.,66,82,N.A.,72,83
27-01-2017,Fine Suspended Particulates ,30,27,25,24,28,35,24,26,N.A.,28,27,N.A.,27,25,23,27,30,34
27-01-2017,Nitrogen Dioxide,56,69,108,51,53,48,44,62,N.A.,59,55,N.A.,78,8,39,43,100,132
27-01-2017,Nitrogen Oxides,75,88,217,N.A.,69,58,53,75,N.A.,86,63,N.A.,110,10,57,54,178,348
27-01-2017,Ozone,60,55,34,80,64,65,50,61,N.A.,56,65,N.A.,47,110,81,77,31,23
27-01-2017,Respirable Suspended Particulates,42,38,42,36,46,49,39,40,N.A.,51,40,N.A.,41,38,34,36,42,51
27-01-2017,Sulphur Dioxide,10,14,7,3,5,7,9,11,N.A.,13,11,N.A.,10,10,8,3,6,10
28-01-2017,Carbon Monoxide,N.A.,57,79,N.A.,N.A.,78,44,N.A.,N.A.,58,N.A.,N.A.,N.A.,66,64,N.A.,65,69
28-01-2017,Fine Suspended Particulates ,37,28,25,28,33,36,21,30,N.A.,29,29,N.A.,27,35,27,34,34,35
28-01-2017,Nitrogen Dioxide,30,48,55,36,28,50,25,50,N.A.,42,25,N.A.,37,8,14,27,69,93
28-01-2017,Nitrogen Oxides,43,57,78,N.A.,31,65,29,59,N.A.,58,27,N.A.,45,9,18,35,103,198
28-01-2017,Ozone,67,61,57,79,68,36,63,57,N.A.,46,76,N.A.,68,92,90,73,38,29
28-01-2017,Respirable Suspended Particulates,47,37,37,42,N.A.,48,33,42,N.A.,48,41,N.A.,36,52,41,44,45,48
28-01-2017,Sulphur Dioxide,7,11,3,5,6,6,9,8,N.A.,9,9,N.A.,5,12,9,4,4,7
29-01-2017,Carbon Monoxide,N.A.,59,81,N.A.,N.A.,76,48,N.A.,N.A.,58,N.A.,N.A.,N.A.,67,65,N.A.,78,67
29-01-2017,Fine Suspended Particulates ,N.A.,18,15,22,23,30,22,23,N.A.,27,24,N.A.,21,21,19,21,27,30
29-01-2017,Nitrogen Dioxide,17,44,48,36,23,47,25,49,N.A.,43,24,N.A.,41,9,11,27,70,75
29-01-2017,Nitrogen Oxides,22,55,68,N.A.,26,72,31,59,N.A.,60,26,N.A.,54,10,15,36,109,153
29-01-2017,Ozone,77,56,58,74,67,35,56,51,N.A.,36,71,N.A.,55,79,89,70,31,33
29-01-2017,Respirable Suspended Particulates,N.A.,26,26,34,36,42,34,32,N.A.,45,35,N.A.,28,34,29,29,35,41
29-01-2017,Sulphur Dioxide,6,10,1,3,3,8,8,5,N.A.,9,9,N.A.,3,9,7,2,2,5
30-01-2017,Carbon Monoxide,N.A.,73,99,N.A.,N.A.,85,65,N.A.,N.A.,60,N.A.,N.A.,N.A.,79,73,N.A.,83,86
30-01-2017,Fine Suspended Particulates ,N.A.,15,13,18,17,26,26,17,N.A.,16,22,N.A.,13,15,15,19,23,28
30-01-2017,Nitrogen Dioxide,32,52,65,43,38,28,38,52,N.A.,29,39,N.A.,45,12,21,32,69,73
30-01-2017,Nitrogen Oxides,42,81,129,N.A.,54,41,55,72,N.A.,38,51,N.A.,74,14,27,44,135,193
30-01-2017,Ozone,42,23,25,46,40,35,19,30,N.A.,39,40,N.A.,29,55,57,38,15,16
30-01-2017,Respirable Suspended Particulates,N.A.,20,23,25,28,32,37,23,N.A.,27,31,N.A.,20,23,22,26,28,39
30-01-2017,Sulphur Dioxide,6,11,3,2,3,3,9,7,N.A.,8,12,N.A.,4,9,6,2,2,6
31-01-2017,Carbon Monoxide,N.A.,99,117,N.A.,N.A.,108,83,N.A.,N.A.,96,N.A.,N.A.,N.A.,101,93,N.A.,102,108
31-01-2017,Fine Suspended Particulates ,N.A.,22,20,24,26,32,23,24,N.A.,24,26,N.A.,24,26,22,28,28,32
31-01-2017,Nitrogen Dioxide,19,33,45,29,26,15,24,37,N.A.,24,25,N.A.,29,10,14,24,53,63
31-01-2017,Nitrogen Oxides,27,48,85,N.A.,36,24,29,51,N.A.,31,30,N.A.,46,12,19,37,102,182
31-01-2017,Ozone,42,28,30,48,42,35,24,32,N.A.,32,40,N.A.,33,50,56,34,19,17
31-01-2017,Respirable Suspended Particulates,N.A.,30,34,42,45,41,35,34,N.A.,41,40,N.A.,30,39,37,37,39,46
31-01-2017,Sulphur Dioxide,6,9,1,2,3,2,8,5,N.A.,8,10,N.A.,3,9,6,2,1,5
